,time,rtt,queue_delay,packet_loss,server_sending_rate,sending_rate_ewma,delivery_rate,bandwidth
0,1647263281.369,24.0,18.69344711303711,10.0,0.0,0.0,0.0,0.0
1,1647263281.422,75.0,9.290456771850586,0.0,0.0,0.0,0.0,0.0
2,1647263281.474,63.0,0.17905235290527344,0.0,26.54024,6.2203687500000004,18.92,0.0
3,1647263281.733,22.0,0.17309188842773438,0.0,0.05968,11.319034533386231,7.7,0.0
4,1647263282.025,23.0,0.17762184143066406,0.0,0.12848,9.920215216712952,0.12,34.297943115234375
5,1647263282.206,24.0,3.040313720703125,0.0,0.074,8.689438314623834,0.07,34.297943115234375
6,1647263282.396,22.0,0.1628398895263672,0.0,0.62072,6.892571523294571,2.84,34.297943115234375
7,1647263282.732,22.0,0.15616416931152344,0.0,0.0916,6.042450082882749,0.04,34.297943115234375
8,1647263283.066,23.0,0.17142295837402344,0.0,0.12872,5.303233822522405,0.12,34.297943115234375
9,1647263283.3,24.0,3.5097599029541016,0.0,0.09176,4.6517995947071045,0.21,34.297943115234375
10,1647263283.37,28.0,3.426790237426758,0.0,6.75808,2.7157588699073187,0.21,34.297943115234375
11,1647263283.666,23.0,0.14972686767578125,0.0,0.074,4.108395200522331,0.09,34.297943115234375
12,1647263283.96,23.0,0.15044212341308594,0.0,0.10216,3.60761580045704,0.1,34.297943115234375
13,1647263284.297,22.0,0.15497207641601562,0.0,0.10104,3.16929382539991,0.07,22.86529541015625
14,1647263284.478,26.0,0.21982192993164062,0.0,0.18576,2.7963520972249207,0.07,22.86529541015625
15,1647263284.532,63.0,2.7313232421875,0.0,0.18576,1.3573815120178778,6.07,22.86529541015625
16,1647263284.592,72.0,0.16736984252929688,0.0,14.30088,5.370670593518796,6.07,22.86529541015625
17,1647263284.864,23.0,0.2872943878173828,0.0,0.09472,5.687918423162829,0.09,22.86529541015625
18,1647263285.199,23.0,0.19431114196777344,0.0,0.11592,4.991418620267476,0.06,22.86529541015625
19,1647263285.536,23.0,1.3148784637451172,0.0,0.05784,4.3747212927340415,0.04,22.86529541015625
20,1647263285.675,27.0,5.7830810546875,0.0,0.06656,3.8362011311422863,0.06,22.86529541015625
21,1647263285.733,76.0,2.9108524322509766,0.0,17.32784,11.272855635367426,0.06,22.86529541015625
22,1647263285.789,128.0,45.49264907836914,0.0,16.98128,14.567071362935417,7.03,22.86529541015625
23,1647263285.844,159.0,70.08194923400879,0.0,16.98128,15.89779446555324,11.5,22.86529541015625
24,1647263285.895,140.0,55.2210807800293,0.0,11.23544,15.385189991415215,11.5,22.86529541015625
25,1647263285.945,73.0,5.602359771728516,0.0,11.23544,12.190675636186473,21.74,22.86529541015625
26,1647263285.997,66.0,0.1437664031982422,0.0,11.23544,11.455326769691727,21.74,22.86529541015625
27,1647263286.136,23.0,0.16164779663085938,0.0,1.11896,15.35821126895904,22.96,11.432647705078125
28,1647263286.278,23.0,22.750377655029297,0.0,0.07504,13.447814860339161,0.07,11.432647705078125
29,1647263286.331,59.0,58.56966972351074,0.0,0.07504,3.5930904512928854,0.07,11.432647705078125
30,1647263286.381,99.0,64.78548049926758,0.0,39.55928,24.86380469397592,20.96,11.432647705078125
31,1647263286.433,104.0,110.63766479492188,0.0,39.55928,36.1765119460081,20.96,11.432647705078125
32,1647263286.484,92.0,130.51319122314453,0.0,16.66824,24.878774443241646,23.18,11.432647705078125
33,1647263286.535,68.0,80.77335357666016,0.0,16.66824,18.558232194360155,23.18,11.432647705078125
34,1647263286.586,64.0,43.2281494140625,0.0,21.02424,19.96253900004174,23.0,11.432647705078125
35,1647263286.637,62.0,25.58302879333496,0.0,21.02424,20.77984584800698,23.0,11.432647705078125
36,1647263286.688,64.0,1.2738704681396484,0.0,22.58136,21.990062319217135,22.79,11.432647705078125
37,1647263286.742,28.0,1.3544559478759766,0.0,22.58136,22.42580402194371,22.79,11.432647705078125
38,1647263286.794,45.0,3.4995079040527344,0.0,19.74496,20.455339957997303,20.87,11.432647705078125
39,1647263286.846,65.0,1.5184879302978516,0.0,19.74496,19.908483164652203,20.87,11.432647705078125
40,1647263286.901,59.0,1.6720294952392578,0.0,15.49744,18.416334993279143,19.57,11.432647705078125
41,1647263286.957,76.0,3.1332969665527344,0.0,15.49744,16.80742640847892,19.57,11.432647705078125
42,1647263287.012,98.0,1.190185546875,0.0,21.34072,18.503412310528326,11.46,11.432647705078125
43,1647263287.068,151.0,1.1005401611328125,0.0,21.34072,20.067349591527357,11.46,11.432647705078125
44,1647263287.123,108.0,37.81461715698242,0.0,11.56728,16.008682028860484,11.46,11.432647705078125
45,1647263287.179,160.0,64.28122520446777,0.0,11.56728,13.560560438588741,11.48,11.432647705078125
46,1647263287.235,153.0,58.951616287231445,0.0,15.80368,14.796978441770657,11.48,11.432647705078125
47,1647263287.291,168.0,111.31429672241211,0.0,8.84592,13.721152053435805,11.42,11.432647705078125
48,1647263287.345,149.0,134.1836452484131,0.0,8.84592,11.033901322687793,11.42,11.432647705078125
49,1647263287.4,133.0,185.41932106018066,0.0,10.99008,10.330413274814212,11.42,11.432647705078125
50,1647263287.457,125.0,208.88042449951172,0.0,10.99008,10.694024661898109,11.42,11.432647705078125
51,1647263287.514,126.0,199.48315620422363,0.0,11.10792,10.905976105681042,11.47,11.432647705078125
52,1647263287.569,125.0,219.79928016662598,0.0,11.10792,11.017288525609093,11.47,11.432647705078125
53,1647263287.623,125.0,179.1832447052002,0.0,11.78464,11.396869283711942,11.47,11.432647705078125
