,RTT_average,queue_delay_average,end2end_average,Loss_average,send_rate_average,delivery_rate_average
0,27.74078560304551,0.0,27.74078560304551,0.0,65.84391190448174,65.5988025609967
1,27.656401384083043,0.0,27.656401384083043,0.0034602076124567475,62.7625196982699,62.517880622837374
2,66.73449074074074,0.0,66.73449074074074,0.0,21.523642933333335,21.715636574074075
3,79.77457440966502,0.0,79.77457440966502,0.03706754530477759,18.037150633717737,18.292075782537065
4,94.52852664576803,0.0,94.52852664576803,0.0,14.712423312852664,15.008736677115985
5,89.74984462399006,0.0,89.74984462399006,0.0,18.593066137973896,18.8483374766936
6,117.9261224489796,0.0,117.9261224489796,0.0,12.02663272489796,12.269963265306123
7,134.25531914893617,0.0,134.25531914893617,0.018501387604070305,10.067203441258094,10.541184088806661
8,145.83366533864543,0.0,145.83366533864543,0.0348605577689243,9.957285211155378,10.616494023904384
9,163.3218201754386,0.0,163.3218201754386,0.0,8.805020394736843,9.021332236842106
10,181.47952586206895,0.0,181.47952586206895,0.0,9.315783068965517,9.983663793103448
11,206.72210184182015,0.0,206.72210184182015,0.0,9.053966015167932,9.20752437703142
12,214.7775,0.0,214.7775,0.0125,7.84238996,8.273543749999998
13,220.51051625239006,0.0,220.51051625239006,1.6315997450605482,7.687846118546845,8.184633524537924
14,215.84069695084008,0.0,215.84069695084008,3.393970130678283,7.217883061605477,7.416577473553204
15,212.78334271243668,0.0,212.78334271243668,4.809268429938098,7.396957181767024,7.572082160945413
