,time,rtt,queue_delay,packet_loss,server_sending_rate,delivery_rate,bandwidth
0,1641632568,23.0,11.300802230834961,10.0,0.0,0.0,0.0
1,1641632568,32.0,5.667209625244141,0.0,0.0,0.0,0.0
2,1641632569,22.0,0.1316070556640625,0.0,0.0,0.0,0.0
3,1641632569,22.0,0.1251697540283203,0.0,2.73992,0.0,34.297943115234375
4,1641632569,24.0,3.072977066040039,0.0,2.73992,0.0,34.297943115234375
5,1641632569,23.0,0.17213821411132812,0.0,2.73992,3.51,34.297943115234375
6,1641632570,23.0,0.14257431030273438,0.0,2.73992,3.51,34.297943115234375
7,1641632570,23.0,0.1354217529296875,0.0,0.86232,3.51,34.297943115234375
8,1641632570,23.0,3.8607120513916016,0.0,0.86232,3.51,34.297943115234375
9,1641632570,26.0,3.4461021423339844,0.0,0.86232,0.77,34.297943115234375
10,1641632571,23.0,0.12445449829101562,0.0,0.86232,0.77,34.297943115234375
11,1641632571,23.0,0.12803077697753906,0.0,1.428008,0.77,22.86529541015625
12,1641632571,22.0,0.12326240539550781,0.0,1.428008,0.77,22.86529541015625
13,1641632571,25.0,3.8907527923583984,0.0,1.428008,0.75,22.86529541015625
14,1641632572,32.0,4.698753356933594,0.0,1.428008,0.75,22.86529541015625
15,1641632572,61.0,0.12969970703125,0.0,1.428008,0.75,22.86529541015625
16,1641632572,22.0,0.4971027374267578,0.0,1.428008,0.75,22.86529541015625
17,1641632572,23.0,0.12826919555664062,0.0,1.541992,0.75,22.86529541015625
18,1641632573,23.0,0.12254714965820312,0.0,1.541992,1.53,22.86529541015625
19,1641632573,27.0,8.280515670776367,0.0,1.541992,1.53,22.86529541015625
20,1641632573,73.0,10.668754577636719,0.0,1.541992,1.53,22.86529541015625
21,1641632573,125.0,61.6757869720459,0.0,1.541992,1.53,22.86529541015625
22,1641632573,118.0,85.10804176330566,0.0,1.541992,1.53,22.86529541015625
23,1641632573,117.0,89.79988098144531,0.0,1.541992,1.53,22.86529541015625
24,1641632573,92.0,97.39136695861816,0.0,4.13568,1.53,11.432647705078125
25,1641632573,70.0,109.24696922302246,0.0,4.13568,1.53,11.432647705078125
26,1641632573,35.0,8.985519409179688,0.0,4.13568,1.53,11.432647705078125
27,1641632573,22.0,0.14138221740722656,0.0,4.13568,1.53,11.432647705078125
28,1641632573,22.0,21.139860153198242,0.0,4.13568,1.53,11.432647705078125
29,1641632573,49.0,65.73939323425293,0.0,4.13568,1.53,11.432647705078125
30,1641632573,56.0,101.29117965698242,0.0,4.13568,1.53,11.432647705078125
31,1641632573,63.0,97.46265411376953,0.0,4.13568,9.33,11.432647705078125
32,1641632574,45.0,104.66527938842773,0.0,4.13568,9.33,11.432647705078125
33,1641632574,62.0,88.47451210021973,0.0,4.13568,9.33,11.432647705078125
34,1641632574,48.0,2.1255016326904297,0.0,4.13568,9.33,11.432647705078125
35,1641632574,52.0,1.0066032409667969,0.0,4.13568,9.33,11.432647705078125
36,1641632574,63.0,8.679628372192383,0.0,4.13568,9.33,11.432647705078125
37,1641632574,44.0,10.31184196472168,0.0,4.13568,9.33,11.432647705078125
38,1641632574,49.0,17.777204513549805,0.0,4.13568,9.33,11.432647705078125
39,1641632574,25.0,1.7781257629394531,0.0,4.13568,9.33,11.432647705078125
40,1641632574,40.0,5.56492805480957,0.0,17.285096,9.33,11.432647705078125
41,1641632574,49.0,1.3155937194824219,0.0,17.285096,9.33,11.432647705078125
42,1641632574,55.0,12.752294540405273,0.0,17.285096,9.33,11.432647705078125
43,1641632574,54.0,4.914045333862305,0.0,17.285096,9.33,11.432647705078125
44,1641632574,62.0,34.30986404418945,0.0,17.285096,9.33,11.432647705078125
45,1641632574,53.0,76.24673843383789,0.0,17.285096,9.33,11.432647705078125
46,1641632574,81.0,66.16735458374023,0.0,17.285096,9.33,11.432647705078125
47,1641632574,85.0,109.11679267883301,0.0,17.285096,9.33,11.432647705078125
48,1641632574,72.0,123.54087829589844,0.0,17.285096,9.33,11.432647705078125
49,1641632574,53.0,69.62370872497559,0.0,17.285096,17.35,11.432647705078125
50,1641632574,81.0,117.16032028198242,0.0,17.285096,17.35,11.432647705078125
51,1641632575,115.0,151.92604064941406,0.0,17.285096,17.35,11.432647705078125
52,1641632575,117.0,95.18861770629883,0.0,17.285096,17.35,11.432647705078125
53,1641632575,97.0,168.70427131652832,0.0,17.285096,17.35,11.432647705078125
54,1641632575,108.0,202.17156410217285,0.0,17.285096,17.35,11.432647705078125
55,1641632575,125.0,202.17156410217285,0.0,17.285096,17.35,11.432647705078125
56,1641632575,118.0,211.9123935699463,0.0,17.285096,17.35,11.432647705078125
57,1641632575,98.0,231.36639595031738,0.0,17.285096,17.35,11.432647705078125
58,1641632575,91.0,252.63285636901855,0.0,13.174856,17.35,22.86529541015625
59,1641632575,126.0,302.6843070983887,0.0,13.174856,17.35,22.86529541015625
60,1641632575,58.0,232.4392795562744,0.0,13.174856,17.35,22.86529541015625
61,1641632575,53.0,204.50687408447266,0.0,13.174856,17.35,22.86529541015625
62,1641632575,85.0,208.0390453338623,0.0,13.174856,17.35,22.86529541015625
63,1641632575,71.0,144.1049575805664,0.0,13.174856,17.35,22.86529541015625
64,1641632575,36.0,160.20774841308594,0.0,13.174856,17.35,22.86529541015625
65,1641632575,33.0,115.80634117126465,0.0,13.174856,17.35,22.86529541015625
