,time,rtt,queue_delay,packet_loss,server_sending_rate,delivery_rate
0,1639651824,77.0,0.0,0.0,0.0,0.0
1,1639651824,194.0,0.0,0.0,0.0,0.0
2,1639651824,277.0,0.0,0.0,0.0,0.0
3,1639651824,336.0,0.0,0.0,0.0,0.0
4,1639651824,406.0,0.0,0.0,0.0,0.0
5,1639651824,465.0,0.0,0.0,0.0,0.0
6,1639651824,519.0,0.0,0.0,0.0,0.0
7,1639651824,507.0,0.0,0.0,0.0,0.0
8,1639651824,554.0,0.0,0.0,0.0,0.0
9,1639651824,589.0,0.0,0.0,0.0,0.0
10,1639651824,578.0,0.0,0.0,0.0,0.0
11,1639651824,508.0,0.0,0.0,0.0,0.0
12,1639651824,432.0,0.0,0.0,0.0,0.0
13,1639651824,390.0,0.0,0.0,0.0,0.0
14,1639651824,355.0,0.0,0.0,5.683216,0.0
15,1639651824,321.0,0.0,0.0,5.683216,0.0
16,1639651825,263.0,0.0,0.0,5.683216,4.98
17,1639651825,246.0,0.0,0.0,5.683216,4.98
18,1639651825,247.0,0.0,0.0,5.683216,4.98
19,1639651825,246.0,0.0,0.0,5.683216,4.98
20,1639651825,245.0,0.0,0.0,5.683216,4.98
21,1639651825,244.0,0.0,0.0,5.683216,4.98
22,1639651825,245.0,0.0,0.0,5.683216,4.98
23,1639651825,240.0,0.0,0.0,5.683216,4.98
24,1639651825,241.0,0.0,0.0,5.683216,4.98
25,1639651825,260.0,0.0,0.0,5.683216,4.98
26,1639651825,277.0,0.0,0.0,5.683216,4.98
27,1639651825,295.0,0.0,0.0,5.683216,4.98
28,1639651825,301.0,0.0,0.0,5.683216,4.98
29,1639651825,324.0,0.0,0.0,5.683216,4.98
30,1639651825,342.0,0.0,0.0,5.683216,4.98
31,1639651825,346.0,0.0,0.0,6.758704,4.98
32,1639651825,340.0,0.0,0.0,6.758704,4.98
33,1639651826,337.0,0.0,0.0,6.758704,6.12
34,1639651826,358.0,0.0,0.0,6.758704,6.12
35,1639651826,346.0,0.0,0.0,6.758704,6.12
36,1639651826,330.0,0.0,0.0,6.758704,6.12
37,1639651826,344.0,0.0,0.0,6.758704,6.12
38,1639651826,352.0,0.0,0.0,6.758704,6.12
39,1639651826,353.0,0.0,0.0,6.758704,6.12
40,1639651826,345.0,0.0,0.0,6.758704,6.12
41,1639651826,363.0,0.0,0.0,6.758704,6.12
42,1639651826,367.0,0.0,0.0,6.758704,6.12
43,1639651826,376.0,0.0,0.0,6.758704,6.12
44,1639651826,367.0,0.0,0.0,6.758704,6.12
45,1639651826,372.0,0.0,0.0,6.758704,6.12
46,1639651826,379.0,0.0,0.0,6.758704,6.12
47,1639651826,385.0,0.0,0.0,6.758704,6.12
48,1639651826,371.0,0.0,0.0,6.126064,6.12
49,1639651826,372.0,0.0,0.0,6.126064,6.12
50,1639651827,364.0,0.0,0.0,6.126064,6.12
51,1639651827,374.0,0.0,0.0,6.126064,5.99
52,1639651827,377.0,0.0,0.0,6.126064,5.99
53,1639651827,375.0,0.0,0.0,6.126064,5.99
54,1639651827,390.0,0.0,0.0,6.126064,5.99
55,1639651827,391.0,0.0,0.0,6.126064,5.99
56,1639651827,394.0,0.0,0.0,6.126064,5.99
57,1639651827,397.0,0.0,0.0,6.126064,5.99
58,1639651827,402.0,0.0,0.0,6.126064,5.99
59,1639651827,422.0,0.0,0.0,6.126064,5.99
60,1639651827,429.0,0.0,0.0,6.126064,5.99
61,1639651827,432.0,0.0,0.0,6.126064,5.99
62,1639651827,437.0,0.0,0.0,6.126064,5.99
63,1639651827,439.0,0.0,0.0,6.126064,5.99
64,1639651827,431.0,0.0,0.0,6.126064,5.99
65,1639651827,444.0,0.0,0.0,5.451248,5.99
66,1639651827,435.0,0.0,0.0,5.451248,5.99
67,1639651828,433.0,0.0,0.0,5.451248,5.22
68,1639651828,435.0,0.0,0.0,5.451248,5.22
69,1639651828,440.0,0.0,0.0,5.451248,5.22
70,1639651828,439.0,0.0,0.0,5.451248,5.22
71,1639651828,436.0,0.0,0.0,5.451248,5.22
72,1639651828,438.0,0.0,0.0,5.451248,5.22
73,1639651828,412.0,0.0,0.0,5.451248,5.22
74,1639651828,408.0,0.0,0.0,5.451248,5.22
75,1639651828,409.0,0.0,0.0,5.451248,5.22
76,1639651828,402.0,0.0,0.0,5.451248,5.22
77,1639651828,393.0,0.0,0.0,5.451248,5.22
78,1639651828,398.0,0.0,0.0,5.451248,5.22
79,1639651828,395.0,0.0,0.0,5.451248,5.22
80,1639651828,394.0,0.0,0.0,5.451248,5.22
81,1639651828,389.0,0.0,0.0,5.451248,5.22
82,1639651828,384.0,0.0,0.0,5.314176,5.22
83,1639651828,382.0,0.0,0.0,5.314176,5.22
84,1639651829,385.0,0.0,0.0,5.314176,5.22
85,1639651829,382.0,0.0,0.0,5.314176,5.46
86,1639651829,380.0,0.0,0.0,5.314176,5.46
87,1639651829,377.0,0.0,0.0,5.314176,5.46
88,1639651829,379.0,0.0,0.0,5.314176,5.46
89,1639651829,367.0,0.0,0.0,5.314176,5.46
90,1639651829,349.0,0.0,0.0,5.314176,5.46
91,1639651829,356.0,0.0,0.0,5.314176,5.46
92,1639651829,360.0,0.0,0.0,5.314176,5.46
93,1639651829,341.0,0.0,0.0,5.314176,5.46
94,1639651829,342.0,0.0,0.0,5.314176,5.46
95,1639651829,341.0,0.0,0.0,5.314176,5.46
96,1639651829,351.0,0.0,0.0,5.314176,5.46
97,1639651829,329.0,0.0,0.0,5.314176,5.46
98,1639651829,318.0,0.0,0.0,5.314176,5.46
99,1639651829,299.0,0.0,0.0,5.894096,5.46
100,1639651829,283.0,0.0,0.0,5.894096,5.46
101,1639651830,268.0,0.0,0.0,5.894096,5.46
102,1639651830,273.0,0.0,0.0,5.894096,6.31
103,1639651830,280.0,0.0,0.0,5.894096,6.31
104,1639651830,284.0,0.0,0.0,5.894096,6.31
105,1639651830,280.0,0.0,0.0,5.894096,6.31
106,1639651830,275.0,0.0,0.0,5.894096,6.31
107,1639651830,265.0,0.0,0.0,5.894096,6.31
108,1639651830,259.0,0.0,0.0,5.894096,6.31
109,1639651830,258.0,0.0,0.0,5.894096,6.31
110,1639651830,254.0,0.0,0.0,5.894096,6.31
111,1639651830,255.0,0.0,0.0,5.894096,6.31
112,1639651830,251.0,0.0,0.0,5.894096,6.31
